Date,Value
1948,384083
1949,396845
1950,410079
1951,425257
1952,431636
1953,455625
1954,475447
1955,494517
1956,502864
1957,512806
1958,519690
1959,541887
1960,576144
1961,591529
1962,597893
1963,626797
1964,662544
1965,676536
1966,687017
1967,705998
1968,744483
1969,758753
1970,779191
1971,807283
1972,841952
1973,896657
1974,874193
1975,861030
1976,886970
1977,908576
1978,946515
1979,981743
1980,961530
1981,954866
1982,973684
1983,1014561
1984,1037295
1985,1080084
1986,1114157
1987,1174273
1988,1240052
1989,1270365
1990,1278416
1991,1263249
1992,1267206
1993,1297628
1994,1346524
1995,1379430
1996,1412926
1997,1482289
1998,1529040
1999,1574760
2000,1632591
2001,1666429
2002,1701811
2003,1753374
2004,1794677
2005,1841218
2006,1888797
2007,1931663
2008,1927034
2009,1845186
2010,1884515
2011,1911983
2012,1940087
2013,1976755
2014,2035883
2015,2089276
2016,2136566
2017,2182170
2018,2218196
2019,2255283
2020,2043373
2021,2200000
